population,school_count,distance_k,gap,category,geom
9325.994141,2,0,1797.7982421875,Moderate Deficit,"MULTIPOLYGON (((66.98457656809867 24.934068806860214, 66.98450313556503 24.938581585439092, 66.98945253212742 24.93864846612435, 66.98952578463143 24.934135673822112, 66.98457656809867 24.934068806860214)))"
16414.373046875,6,0,1924.3119140625,Moderate Deficit,"MULTIPOLYGON (((66.97962736935261 24.93400177572834, 66.97970096408275 24.929489007970854, 66.9753998906555 24.92943063127412, 66.97497250900005 24.93040834000004, 66.97483125100007 24.93078298000006, 66.97481282600006 24.930893530000045, 66.97504006700007 24.930942663000057, 66.97542699100006 24.93102250500004, 66.97627453800004 24.931176046000076, 66.97704838600005 24.93136643700006, 66.97732476000004 24.931470845000035, 66.97734932600008 24.931612103000077, 66.97726948500008 24.931894619000047, 66.97718350200006 24.93215256800005, 66.97710980200003 24.932588625000044, 66.97682728600006 24.93325192300006, 66.976613072248 24.93396087002551, 66.97962736935261 24.93400177572834)))"
18218.771484375,2,0,4465.6314453125,High Deficit,"MULTIPOLYGON (((66.9795537567922 24.938514540550177, 66.97962736935261 24.93400177572834, 66.976613072248 24.93396087002551, 66.97656933700006 24.934105612000046, 66.97635437900004 24.934738201000073, 66.97617627200003 24.935198825000043, 66.97594903100003 24.935665590000042, 66.97581391400007 24.936083222000036, 66.97577092300003 24.936439438000036, 66.97571564800006 24.93674652000004, 66.97571564800006 24.937010611000062, 66.97572793100005 24.937225569000077, 66.97582619800005 24.937428243000053, 66.97601044700008 24.937686192000058, 66.97612713800004 24.937827450000043, 66.97664303700003 24.93830035700005, 66.97683368263132 24.938477624072142, 66.9795537567922 24.938514540550177)))"
370.05963134765625,0,1.119526913,111.017889404297,Low Deficit,"MULTIPOLYGON (((66.9795537567922 24.938514540550177, 66.97683368263132 24.938477624072142, 66.97699311100007 24.93862586400007, 66.97734318500005 24.939012788000067, 66.97758885100006 24.939319870000077, 66.97796349100008 24.93966380300003, 66.97831356500008 24.939934035000082, 66.97892158800005 24.940370092000027, 66.97951697908015 24.940768761077795, 66.9795537567922 24.938514540550177)))"
9941.931641,8,0,-1017.420508,Adequate,"MULTIPOLYGON (((66.97940647816917 24.947540061385236, 66.97942772076047 24.946238544534914, 66.97908306300008 24.946276840000046, 66.97889044800007 24.946276840000056, 66.97870585900006 24.946164481000043, 66.97827247600003 24.945899636000036, 66.97771870800005 24.94562676500004, 66.97744583700006 24.945530457000075, 66.97690812100006 24.945562560000038, 66.97656302000007 24.945731098000067, 66.97613766200004 24.94594778900006, 66.97597715000006 24.94610027600003, 66.97592097000006 24.946349070000053, 66.97586479100005 24.94667009500006, 66.97580058600005 24.94723991400008, 66.97576759484896 24.94749064705669, 66.97940647816917 24.947540061385236)))"
10637.916015625,3,0,1691.3748046875,Moderate Deficit,"MULTIPOLYGON (((66.98442968524186 24.943094361082885, 66.98450313556503 24.938581585439092, 66.9795537567922 24.938514540550177, 66.97951697908015 24.940768761077795, 66.97958065100005 24.940811395000026, 66.97987906100008 24.941033780000055, 66.98009429100006 24.941148471000076, 66.98070423700005 24.941445419000043, 66.98116169800005 24.94167816200007, 66.98150679900004 24.941878802000076, 66.98164323400005 24.942175750000043, 66.98172349100008 24.942432570000054, 66.98173151600008 24.94296226000006, 66.98172417250828 24.94305772607114, 66.98442968524186 24.943094361082885)))"
16207.25,3,0,3362.175,High Deficit,"MULTIPOLYGON (((66.98450313556503 24.938581585439092, 66.98442968524186 24.943094361082885, 66.98937926187745 24.94316125549247, 66.98945253212742 24.93864846612435, 66.98450313556503 24.938581585439092)))"
11194.66016,0,0.851684213,3358.398047,High Deficit,"MULTIPOLYGON (((66.97940647816917 24.947540061385236, 66.98435621712633 24.947607133791156, 66.98442968524186 24.943094361082885, 66.98172417250828 24.94305772607114, 66.98169138800006 24.94348392500006, 66.98165928600008 24.943732719000028, 66.98149877300006 24.944158077000054, 66.98139444000003 24.944374769000028, 66.98096105700006 24.944848280000027, 66.98039123800004 24.945466252000077, 66.97977326600005 24.946036071000034, 66.97951644600005 24.94622868600004, 66.97942772076047 24.946238544534914, 66.97940647816917 24.947540061385236)))"
7074.1474609375,0,0.214259521,2122.24423828125,Moderate Deficit,"MULTIPOLYGON (((66.98442968524186 24.943094361082885, 66.98435621712633 24.947607133791156, 66.9893059738787 24.947674041926046, 66.98937926187745 24.94316125549247, 66.98442968524186 24.943094361082885)))"
40.01254653930664,0,1.546102686,12.003763961792,Low Deficit,"MULTIPOLYGON (((66.98937926187745 24.94316125549247, 66.9893059738787 24.947674041926046, 66.99425574838268 24.947740785787595, 66.99432885626182 24.943227985662393, 66.98937926187745 24.94316125549247)))"
